题目,答案
雷雨天躲在室内，有时也容易遭到雷击。下列关于室内预防雷击的说法，错误的做法是（ ）。,['靠墙壁的位置比房间中央更安全']
《城镇燃气管理条例》中规定，县级以上人民政府有关部门应当建立健全燃气安全监督管理制度，宣传普及燃气法律、法规和安全知识，提高全民的燃气安全意识。,['对']
近年来，雷电、暴雨、短时大风、冰雹等极端天气时有发生，如果防范不当，不仅会造成财产损失，还有可能造成人身伤害。在极端天气下，下列哪项防范措施是错误的（ ）。,['汽车在积水处熄火时，在车内等待救援']
灭火器压力指针指向什么颜色区域证明该灭火器压力正常（ ）。,['绿色']
运输中发生爆胎时，应向相反方向急转方向盘或急踩制动踏板。,['错']
综合应急预案，是指生产经营单位为应对各种生产安全事故而制定的综合性工作方案，是本单位应对生产安全事故的总体工作程序、措施和应急预案体系的总纲。,['对']
《安全生产法》中规定，从业人员（ ）对本单位安全生产工作中存在的问题提出批评、检举、控告。,['有权']
珍贵文件档案资料着火时，扑火不可用（ ）。,"['干粉灭火器', '泡沫灭火器', '砂土']"
如发现充电器有冒烟、发出焦味情况，正确的做法是（ ）。,['立刻拔掉电源']
下列哪些现象可能是山洪的前兆（ ）。,"['溪流水位猛涨或骤降', '河水浑浊、产生泡沫', '上游出现沉闷响声']"
根据《高层民用建筑消防安全管理规定》的规定，禁止在高层民用建筑地下部分使用液化石油气。,['对']
事故风险单一、危险性小的生产经营单位，可以只编制现场处置方案。,['对']
根据《城镇燃气管理条例》的规定，燃气经营者不得（ ）、转让、涂改燃气经营许可证。,"['倒卖', '抵押', '出租', '出借']"
工贸企业应当对可能产生有毒物质的有限空间采取上锁、隔离栏、防护网或者其他物理隔离措施，防止人员未经审批进入。（ ）负责在作业前解除物理隔离措施。,['监护人员']
《工贸企业粉尘防爆安全规定》中规定，粉尘涉爆企业主要负责人是粉尘防爆安全工作的第一责任人，其他负责人在各自职责范围内对粉尘防爆安全工作负责。,['对']
违反《工贸企业有限空间作业安全规定》，未对有限空间进行辨识，或者未建立有限空间管理台账的，责令限期改正，对工贸企业处（ ）以下的罚款，对其直接负责的主管人员和其他直接责任人员处（ ）以下的罚款。,['5万元、1万元']
《高层民用建筑消防安全管理规定》中规定，防火巡查应当包括下列（ ）内容。,"['用火、用电、用气有无违章情况', '安全出口、疏散通道、消防车通道畅通情况', '消防设施、器材完好情况，常闭式防火门关闭情况', '消防安全重点部位人员在岗在位等情况']"
《工贸企业有限空间作业安全规定》中规定，工贸企业应当每年至少组织一次有限空间作业专题安全培训，对（ ）培训有限空间作业安全知识和技能，并如实记录。,"['作业审批人', '监护人员', '作业人员', '应急救援人员']"
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑的（ ）是高层民用建筑消防安全责任主体，对高层民用建筑的消防安全负责。,"['业主', '使用人']"
监护人员应当全程进行监护，与作业人员保持实时联络，不得离开作业现场或者进入有限空间参与作业。,['对']
学校或宿舍在进行建筑内部装修，建筑内的消火栓（ ）。,['不应该被装饰物遮蔽']
根据《高层民用建筑消防安全管理规定》的规定，高层公共建筑内公众聚集场所在营业期间应当至少每2小时进行一次防火巡查，医院、养老院、寄宿制学校、幼儿园应当进行白天和夜间防火巡查。,['对']
有限空间作业前，应当组织对作业人员进行安全交底，监护人员应当对通风、检测和必要的隔断、清除、置换等风险管控措施逐项进行检查，确认防护用品能够正常使用且作业现场配备必要的应急救援装备，确保各项作业条件符合安全要求。,['对']
应急预案的编制应当符合下列哪些基本要求（ ）。,"['有关法律、法规、规章和标准的规定', '本地区、本部门、本单位的安全生产实际情况', '应急组织和人员的职责分工明确，并有具体的落实措施', '有明确、具体的应急程序和处置措施，并与其应急能力相适应']"
使用灭火器扑救火灾时要对准火焰（ ）喷射。,['根部']
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑的户外广告牌、外装饰不得采用易燃、可燃材料，不得妨碍防烟排烟、逃生和灭火救援，不得改变或者破坏建筑立面防火结构。,['对']
《高层民用建筑消防安全管理规定》中规定，在高层民用建筑的公共门厅、疏散走道、楼梯间、安全出口停放电动自行车或者为电动自行车充电，拒不改正的。由消防救援机构责令改正，对经营性单位和个人处（ ）罚款。,['2000元以上10000元以下']
有限空间作业中发现异常情况时，监护人员应当立即组织作业人员撤离现场。发生有限空间作业事故后，应当立即按照现场处置方案进行应急处置，组织科学施救。未做好安全措施盲目施救的，监护人员应当予以制止。,['对']
《高层民用建筑消防安全管理规定》中规定，在高层民用建筑的公共门厅、疏散走道、楼梯间、安全出口停放电动自行车或者为电动自行车充电，拒不改正的。由消防救援机构责令改正，对非经营性单位和个人处（ ）罚款。,['500元以上1000元以下']
（ ）标志着室内火灾从发展阶段进入猛烈燃烧阶段，即火灾发展到了不可控制的程度。,['轰燃']
依据《安全生产法》的规定，国务院标准化行政主管部门、有关部门依据法定职责对安全生产（ ）的实施进行监督检查。,['强制性国家标准']
居民楼楼道内可以放置电动自行车等杂物。,['错']
根据《高层民用建筑消防安全管理规定》的规定，高层民用建筑内电器设备的安装使用及其线路敷设、维护保养和检测应当符合消防技术标准及管理规定。,['对']
任何单位和个人不得交寄危险化学品或者在邮件、快件内夹带危险化学品，不得将危险化学品匿报或者谎报为普通物品交寄。,['对']
安全生产许可证的有效期为（ ）年。,['3']
发现火情报火警时，要报清（ ）。,"['起火地点', '燃烧物质', '有无被困人员', '火势情况']"
发现燃气泄漏，要速关阀门，打开门窗，不能（ ）。,"['触动电器开关', '立即就地拨打救援电话', '使用明火']"
生产经营单位的生产经营场所或者员工宿舍的出口、疏散通道，在不影响通行的情况下可以堆放物品。,['错']
某焊接工张某因生产安全事故受到伤害，下列关于张某获取赔偿的说法中，正确的是（ ）。,['除依法享有工伤保险赔偿外，有权依照有关民事法律提出赔偿要求']
有关地方人民政府、安全生产监督管理部门和负有安全生产监督管理职责的有关部门有下列行为之一的，对直接负责的主管人员和其他直接责任人员依法给予处分；构成犯罪的，依法追究刑事责任（ ）。,"['不立即组织事故抢救的', '迟报、漏报、谎报或者瞒报事故的', '阻碍、干涉事故调查工作的', '在事故调查中作伪证或者指使他人作伪证的']"
由于行为人的过失引起火灾，造成严重后果的行为，构成（ ）。,['失火罪']
因抢救人员、防止事故扩大以及疏通交通等原因，需要移动事故现场物件的，应当（ ）。,"['做出标志', '绘制现场简图并做出书面记录', '妥善保存现场重要痕迹', '妥善保存现场重要物证']"
乘坐水上船只游玩时，为方便活动，可不穿戴救生衣。,['错']
前车为执行紧急任务的警车、消防车、救护车、工程救险车的情况下，不得超车。,['对']
单位在营业期间，下列（ ）做法是错误的。,['遮挡消防安全疏散指示标志']
交通信号灯由红灯、绿灯、黄灯组成。红灯表示禁止通行，绿灯表示准许通行，黄灯表示警示。,['对']
当打开房门闻到燃气气味时，要迅速（ ），以防止引起火灾。,['打开门窗通风']
某化工厂张某在作业中，发现供电线路绝缘破损，铜丝裸露。依据《安全生产法》，关于张某安全生产权利义务责任说法，正确的是（ ）。,['张某应当立即向有关负责人报告事故隐患']
国家综合性消防救援队、专职消防队扑救火灾、应急救援，可以收取一定的费用。,['错']
单位或家庭维修中使用溶剂和油漆时，除了杜绝一切火种，还应该注意（ ）。,['通风']
烟头中心温度可达（ ），它超过了棉、麻、毛织物、纸张、家具等可燃物的燃点，若乱扔烟头接触到这些可燃物，容易引起燃烧，甚至酿成火灾。,['700～800℃']
关于暴雨期间外出，下列说法错误的是（）。,['必须涉水通过时，选择有旋涡的地方']
工会对生产经营单位违反安全生产法律、法规，侵犯从业人员合法权益的行为，有权要求纠正。,['对']
根据《突发事件应对法》，突发事件是指突然发生，造成或者可能造成严重社会危害，需要采取应急处置措施予以应对的（ ）。,"['自然灾害', '事故灾难', '公共卫生事件', '社会安全事件']"
机动车行经人行横道时，应当减速行驶；遇行人正在通过人行横道，应当停车让行。,['对']
灭火器压力表用红、黄、绿三种颜色表示压力情况，当指针指在黄色区域时表示（ ）。,['压力偏高']
生产、储存易燃易爆危险物品的大型企业应当建立（ ）。,['专职消防队']
根据《生产安全事故应急条例》，下列哪些单位应当建立应急值班制度，配备应急值班人员（ ）。,"['危险物品的生产、经营单位', '危险物品的储存、运输单位', '应急救援队伍', '城市轨道交通运营单位']"
劳务派遣单位不用对被派遣劳动者进行必要的安全生产教育和培训，而由生产经营单位培训即可。,['错']
采取适当的措施，使燃烧因缺乏或隔绝氧气而熄灭，这种方法称作（ ）。,['窒息灭火法']
警车、消防车、救护车、工程救险车不受行驶路线、行驶方向、行驶速度和信号灯的限制。,['错']
根据《生产安全事故报告和调查处理条例》的规定，下列选项中属于事故调查组职责的有（ ）。,"['查明事故发生的经过、原因、人员伤亡情况及直接经济损失', '认定事故的性质和事故责任', '提交事故调查报告']"
新闻、出版、广播、电视等有关单位，有进行道路交通安全教育的义务。,['对']
当遇到火灾时，要迅速向（ ）逃生。,['安全出口的方向']
工会发现事故隐患时，有权提出解决的建议。,['对']
任何单位和个人都有参加有组织的灭火工作的义务。,['错']
根据《突发事件应对法》，按照突发事件发生的（ ）分为一级、二级、三级和四级，分别用红色、橙色、黄色和蓝色标示，一级为最高级别。,"['紧急程度', '发展势态', '可能造成的危害程度']"
报完火警后派人到单位门口、街道交叉路口等候消防车，并带领消防车迅速赶到火场。,['对']
公共场所发生火灾时，该公共场所的现场工作人员有组织、引导在场群众疏散的义务。,['对']
某车间进行吊装作业，班长要求工人站在吊装的物料上，工人正确的做法是（ ）。,['拒绝班长的工作指令']
《安全生产法》中规定，新闻、出版、广播、电影、电视等单位有对违反安全生产法律、法规的行为进行舆论监督的权利。,['对']
在城市道路范围内，在不影响行人、车辆通行的情况下，政府有关部门可以施划停车泊位。,['对']
用人单位应当优先采用有利于防治职业病和保护劳动者健康的（ ）。,"['新技术', '新工艺', '新设备', '新材料']"
工会有权依法参加事故调查，向有关部门提出处理意见，并要求追究有关人员的责任。,['对']
通常公共场所的门的开启方向是朝外开的。,['对']
严禁携带（ ）进入生产、储备易燃易爆危险物品的场所。,['火种']
《突发事件应对法》中规定，可以预警的自然灾害、事故灾难和公共卫生事件的预警级别，按照突发事件发生的紧急程度、发展势态和可能造成的危害程度分为一级、二级、三级和四级，（ ）为最高级别。,['一级']
任何单位、（ ）都有参加有组织的灭火工作的义务。,['成年人']
关于《安全生产法》适用范围，正确的是（ ）。,['有关法律、行政法规对特种设备安全、核与辐射安全另有规定的，不适用']
机动车行经没有交通信号的道路时，遇行人横过道路，无需避让。,['错']
《建筑防火通用规范》规定，除有特殊要求的建筑和甲类厂房可不设置消防救援口外，在建筑的外墙上应设置便于（ ）出入的消防救援口。,['消防救援人员']
《安全生产法》规定的安全生产工作方针是（ ）。,['安全第一、预防为主、综合治理']
《职业病防治法》中规定，用人单位必须依法参加（ ）。,['工伤保险']
企业安全生产费用中包含安全生产宣传、教育、培训和从业人员发现并报告事故隐患的奖励支出。,['对']
重大事故隐患排除前或者排除过程中无法保证安全的，应当责令从危险区域内撤出作业人员，责令暂时停产停业或者停止使用相关设施、设备。,['对']
安全生产法律法规规定新进厂员工必须经过三级教育，但未规定是否要进行考试。,['错']
生产经营单位与从业人员订立的劳动合同，应当载明有关（ ）的事项。,"['保障从业人员劳动安全', '防止职业危害', '办理工伤保险']"
依据《道路交通安全法》，下列（ ）情形下不得驾驶机动车。,"['饮酒后', '服用了国家管制的精神药品', '过度疲劳']"
生产经营单位发生生产安全事故后，以下哪项处理措施是错误的（ ）。,['单位负责人接到事故报告后，应当首先向当地负有安全生产监督管理职责的部门报告，根据负有安全生产监督管理职责的部门的指令组织抢救']
安全生产监管部门依法对生产经营单位执行安全生产法律、法规和国家标准或者行业标准的情况进行监督检查的权利，行使的职权有（ ）。,"['现场检查权', '当场处理权', '紧急处置权', '查封扣押权']"
任何单位和个人不得损坏、挪用或者擅自拆除、停用消防设施、器材，不得埋压、圈占、遮挡消火栓或者占用防火间距，不得占用、堵塞、封闭疏散通道、安全出口、消防车通道。人员密集场所的门窗不得设置影响逃生和灭火救援的障碍物。,['对']
安全阀是一种（ ）类型的自动装置。,['泄压']
对于存在硫化氢、一氧化碳、二氧化碳等中毒和窒息等风险的有限空间作业，应当由工贸企业主要负责人或者其书面委托的人员进行审批，委托进行审批的，相关责任由受委托的人员承担。,['错']
生产经营单位的主要负责人在本单位发生生产安全事故时，不立即组织抢救或者在事故调查处理期间擅离职守或者逃匿的，对逃匿的处十日以下拘留。,['错']
根据《工贸企业有限空间作业安全规定》，工贸企业应当在有限空间出入口等醒目位置设置明显的安全警示标志，并在具备条件的场所设置安全风险告知牌。,['对']
用人单位的安全生产管理人员对本单位的职业病防治工作全面负责。,['错']
《建筑防火通用规范》规定，甲类厂房与人员密集场所的防火间距不应小于（ ）。,['50M']
王某因其弟被人打伤而纠集几名同事将打伤他弟弟的人打成重伤，王某的行为构成（ ）。,['故意伤害罪']
根据《工贸企业有限空间作业安全规定》，监护人员负责在作业前解除物理隔离措施。,['对']
儿童玩耍时不小心磕掉牙齿，在送往医院前，掉落的牙齿需妥善保存才能保持牙根表面牙周膜的活性，以下保存方式错误的是（ ）。,['包裹在干净纸巾里']
《安全生产法》明确排除了适用的特殊规定，（ ）另有规定的，不适用安全生产法。,"['核与辐射安全', '特种设备安全']"
依据《消防法》的规定，消防安全重点单位应当实行（ ）防火巡查，并建立巡查记录。,['每日']
根据《工贸企业有限空间作业安全规定》，有限空间作业应当严格遵守“先通风、再检测、后作业”要求。,['对']
机动车在高速公路上发生故障时，下列哪些处理方式是正确的（ ）。,"['开启危险报警闪光灯', '车上人员应当迅速转移到右侧路肩上或者应急车道内', '迅速报警']"
《防灾避难场所设计规范》规定，避难场所按照其配置功能级别、避难规模和开放时间，可划分为（ ）。,"['紧急避难场所', '固定避难场所', '中心避难场所']"
保护接地和保护接零是防止直接接触触电事故的基本安全技术措施。,['错']
操作工人在入厂时经过三级教育，在调换工种时没必要进行安全教育。,['错']
依据《安全生产法》的规定，事故调查处理应当按照科学严谨、依法依规、实事求是、注重实效的原则，及时、准确地查清（ ），查明事故性质和责任。,['事故原因']
火灾扑救结束后，企业应及时清理火灾现场、尽快恢复生产。,['错']
增湿就是提高空气的湿度，在允许增湿的工作场所普遍采用这种方法消除静电的危害。,['对']
依据《中华人民共和国民法典》规定，处理民事纠纷，应当依照法律；法律没有规定的，可以（ ）。,['适用习惯，但是不得违背公序良俗']
依据《安全生产法》的规定，生产经营单位从业人员的安全生产权利包括（ ）。,"['紧急避险权', '批评、检举、控告权', '拒绝违章指挥和强令冒险作业']"
人员密集场所发生火灾，该场所的现场工作人员应当立即组织、引导在场人员疏散。,['对']
有限空间监护人员应当全程进行监护，与作业人员保持实时联络，可以暂时离开作业现场或者进入有限空间参与作业。,['错']
自动扶梯上存在容易“咬人”的危险区域，乘坐扶梯一定要注意（ ）。,"['不要将尖硬物插入电梯缝隙或凹槽处', '不要让手、脚、衣服下摆等靠近电梯夹缝', '不要在梯级上快步走动、奔跑', '不要将身体探出扶手装置以外']"
依据《中华人民共和国民法典》规定，向人民法院请求保护民事权利的诉讼时效期间为（ ）。,['三年']
根据《安全生产严重失信主体名单管理办法》，12个月内累计发生2起以上较大生产安全事故的生产经营单位及其主要负责人应当列入严重失信主体名单。,['对']
同车道行驶的机动车，后车应当与前车保持足以采取紧急制动措施的安全距离。下列情形下，不得超车的有（ ）。,"['前车正在掉头', '前车正在超车', '行经铁路道口']"
生产经营场所和员工宿舍未设有符合紧急疏散需要、标志明显、保持畅通的出口、疏散通道，应对生产经营单位处以（ ）罚款。,['5万元以下']
《消防法》规定，任何单位、个人不得（ ）。,"['损坏或擅自挪用消防设施、器材', '埋压、圈占消防栓', '堵塞消防通道']"
《高层民用建筑消防安全管理规定》规定，高层住宅小区里居民在疏散走道、楼梯间停放电动车，拒不改正后，将受到（ ）处罚。,['五百元以上一千元以下罚款']
《建筑防火通用规范》规定，消防电梯应符合下列规定：（ ）。,"['应能在所服务区域每层停靠', '在消防电梯的首层入口处，应设置明显的标识和供消防救援人员专用的操作按钮', '电梯轿厢内部装修材料的燃烧性能应为A级']"
离开自动扶梯时，不要停在扶梯出口处交谈或四处张望，以防与后面的人发生碰撞。,['对']
根据《安全生产严重失信主体名单管理办法》，应急管理部门作出列入严重失信主体名单书面决定前，应当告知当事人。,['对']
同一建筑物由两个以上单位管理或者使用的，应当明确各方的消防安全责任，并确定责任人对共用的疏散通道、安全出口、建筑消防设施和消防车通道进行统一管理。,['对']
我国刑法中管制的期限是（ ）。,['三个月以上，两年以下']
测试燃气泄漏最安全有效的办法是( )。,['用肥皂水']
犯罪的时候不满（ ）周岁的人和审判的时候怀孕的妇女，不适用死刑。,['十八']
燃气胶管的长度一般不得超过（ ）米。,['2米']
未经工贸企业确定的作业审批人批准，也可以实施有限空间作业。,['错']
根据《安全生产严重失信主体名单管理办法》，应急管理部门对被列入严重失信主体名单的对象可以在国家有关信用信息共享平台、国家企业信用信息公示系统和部门政府网站等公示相关信息。,['对']
根据《工贸企业有限空间作业安全规定》，监护人员应当具备与监督有限空间作业相适应的安全知识和应急处置能力，能够正确使用气体检测、机械通风、呼吸防护、应急救援等用品、装备。,['对']
粉尘爆炸不太可能发生破坏性更大的二次爆炸。,['错']
景区游玩时，发现他人落水，正确的处理方式是（ ）。,"['大声呼救，向周围人求救', '拨打报警电话求救', '就地取材，向落水者递送救生圈，竹竿，木板等漂浮物']"
《建筑防火通用规范》规定，埋深大于（ ）的地铁车站公共区应设置消防专用通道。,['15M']
依据《中华人民共和国民法典》规定，监护人应当按照（ ）的原则履行监护职责。,['最有利于被监护人']
外出游玩时，不小心落水，应该如何自救（ ）。,"['保持冷静，屏住呼吸、放松全身，让身体自然上浮', '身体上浮后，尽量将头向后仰，使口鼻露出水面', '将身上的重物尽量甩掉，如背包、鞋子', '尽量抓住身边的任何漂浮物，如木板、树枝']"
根据《安全标志及其使用导则》的规定，下列属于提示标志的有（ ）。,"['紧急出口', '应急避难场所', '紧急医疗站']"
根据《生产安全事故罚款处罚规定》，隐瞒已经发生的事故，超过规定时限未向应急管理部门、矿山安全监察机构和有关部门报告，经查证属实的，属于（ ）。,['瞒报']
根据《中华人民共和国职业病防治法》，产生职业病危害的用人单位，应当在醒目位置设置公告栏，公布有关（ ）。,"['职业病防治的规章制度', '职业病防治的操作规程', '职业病危害事故应急救援措施', '工作场所职业病危害因素检测结果']"
强令他人违章冒险作业，或者明知存在重大事故隐患而不排除，仍冒险组织作业，因而发生重大伤亡事故或者造成其他严重后果的，处三年以下有期徒刑或者拘役；情节特别恶劣的，处三年以上有期徒刑。,['错']
燃气经营者可以倒卖、抵押、出租、出借、转让、涂改燃气经营许可证。,['错']
（ ）主要是对典型突发事件的发生演化规律、造成的后果和处置救援等情况进行复盘研究，必要时构建突发事件情景，总结经验教训，明确应对流程、职责任务和应对措施，为制定应急预案提供参考借鉴。,['案例分析']
储存、使用易燃易爆物品、危险化学品等危险物品的科研机构、学校、医院等单位的安全事故应急工作，参照《生产安全事故应急条例》有关规定执行。,['对']
根据《生产安全事故应急条例》，（ ）等人员密集场所经营单位，应当至少每半年组织1次生产安全事故应急救援预案演练。,"['宾馆', '商场', '娱乐场所', '旅游景区']"
根据《突发事件应急预案管理办法》，（ ）专项和部门应急预案侧重明确突发事件的组织指挥机制、风险管控、监测预警、信息报告、组织自救互救、应急处置措施、现场管控、队伍物资保障等内容，重点规范市（地）级和县级层面应对行动，落实相关任务，细化工作流程，体现应急处置的主体职责和针对性、可操作性。,['市县级']
突然断电被困电梯内，下列哪个自救方式是正确的？（ ）,['保持镇静寻求救援']
生产经营单位应当建立安全风险分级管控制度，按照安全风险分级采取相应的管控措施。,['对']
生产经营单位使用被派遣劳动者的，不必对被派遣劳动者进行岗位安全操作规程和安全操作技能的教育和培训。,['错']
根据《中华人民共和国职业病防治法》，对可能发生急性职业损伤的有毒、有害工作场所，用人单位应当设置报警装置，配置（ ）。,"['现场急救用品', '冲洗设备', '应急撤离通道', '必要的泄险区']"
个人不得购买易制毒化学品。,['错']
根据《中华人民共和国刑法修正案（十一）》，对行驶中的公共交通工具的驾驶人员使用暴力或者抢控驾驶操纵装置，干扰公共交通工具正常行驶，危及公共安全的，处一年以下有期徒刑、拘役或者管制，并处或者单处罚金。,['对']
根据《生产安全事故应急条例》，生产经营单位应当针对本单位可能发生的生产安全事故的特点和危害，进行风险辨识和评估，制定相应的生产安全事故应急救援预案，并向本单位从业人员公布。,['对']
面粉生产车间严禁吸烟的主要原因是？（ ）,['防止爆炸']
根据《城镇燃气管理条例》，燃气应急预案应当明确（ ）等内容。,"['燃气应急气源和种类', '应急供应方式', '应急处置程序', '应急救援措施']"
《安全生产法》中规定，生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的安全（ ）。,['警示标志']
生产经营单位可以短期将生产经营项目、场所、设备发包或者出租给不具备安全生产条件或者相应资质的单位或者个人。,['错']
根据《生产安全事故罚款处罚规定》，报告事故的时间超过规定时限的，属于（ ）。,['迟报']
生产经营单位新建、改建、扩建工程项目的（ ），必须与主体工程同时设计、同时施工、同时投入生产和使用。,['安全设施']
宾馆、商场、娱乐场所、旅游景区等人员密集场所经营单位，应当至少每一年组织1次生产安全事故应急救援预案演练。,['错']
个体防护装备包括：（ ）等。,"['头部防护装备', '手部防护装备', '呼吸防护装备', '足部防护装备']"
根据《生产安全事故罚款处罚规定》，对发生重大事故的单位及其有关责任人员罚款的行政处罚，由（ ）人民政府应急管理部门决定。,['省级']
根据《生产安全事故罚款处罚规定》，对发生一般事故的单位及其有关责任人员罚款的行政处罚，由（ ）人民政府应急管理部门决定。,['县级']
外出旅游入住旅馆后，为保证自身安全，首先应做什么？（ ）,['留意察看逃生通道']
《安全生产法》中规定，国家对在改善安全生产条件方面取得显著成绩的单位和个人，给予（ ）。,['奖励']
安全设备的设计、（ ）、维修、改造和报废，应当符合国家标准或者行业标准。,"['制造', '安装', '使用', '检测']"
生产经营单位发生生产安全事故后，应当及时采取措施救治有关人员。,['对']
生产经营单位的主要负责人和安全生产管理人员必须具备与本单位所从事的生产经营活动相应的安全生产知识和管理能力。,['对']
《安全生产法》中规定，生产经营单位的生产经营场所和员工宿舍未设有符合紧急疏散需要、标志明显、保持畅通的出口、疏散通道，或者（ ）生产经营场所或者员工宿舍出口、疏散通道的，责令限期改正，处五万元以下的罚款。,"['占用', '锁闭', '封堵']"
根据《生产安全事故罚款处罚规定》，事故发生单位主要负责人在事故发生后不立即组织事故抢救，或者在事故调查处理期间擅离职守，或者瞒报、谎报、迟报事故，或者事故发生后逃匿的，处上一年年收入（ ）的罚款。,['60%至80％']
根据《城镇燃气管理条例》，燃气经营者应当向燃气用户持续、稳定、安全供应符合国家质量标准的燃气，指导燃气用户安全用气、节约用气，并对燃气设施定期进行安全检查。,['对']
事故发生后，事故现场有关人员应当于1小时内向本单位负责人报告。,['错']
根据《中华人民共和国职业病防治法》，任何单位和个人不得（ ）国家明令禁止使用的可能产生职业病危害的设备或者材料。,"['生产', '经营', '进口', '使用']"
个人自用购买少量高锰酸钾的，无须备案。,['对']
以下关于电动自行车充电场所说法正确的是？（ ）,['在小区充电桩或室外进行充电']
电梯应当至少每15日进行一次清洁、润滑、调整和检查。,['对']
油锅起火，不正确的扑救方法是？（ ）,['用水泼灭']
被狗、猫等动物咬伤后应（ ）。,['立即用肥皂水或清水彻底冲洗伤口15分钟，并就近到狂犬病免疫预防门诊就医']
根据《城镇燃气管理条例》，禁止个人从事管道燃气经营活动。,['对']
燃气经营者不得向未取得燃气经营许可证的单位或者个人提供用于经营的燃气。,['对']
根据《安全生产严重失信主体名单管理办法》，鼓励被列入对象进行信用修复，纠正失信行为、消除不良影响。符合信用修复条件的，应急管理部门应当按照有关规定将其移出严重失信主体名单并解除管理措施。,['对']
生产经营单位的生产经营场所和员工宿舍应当设有（ ）的出口、疏散通道。,"['符合紧急疏散要求', '标志明显', '保持畅通']"
根据《生产安全事故报告和调查处理条例》的规定，造成3人以上10人以下死亡的生产安全事故，属于（ ）。,['较大事故']
生产经营单位委托有关服务机构提供安全生产技术、管理服务的，保证安全生产的责任由服务机构负责。,['错']
根据《突发事件应急预案管理办法》，（ ）主要是识别突发事件风险及其可能产生的后果和次生（衍生）灾害事件，评估可能造成的危害程度和影响范围等。,['风险评估']
某化工厂委托一家安全生产服务机构为本单位提供安全生产管理服务，在这种情况下，该厂安全生产的责任（ ）。,['仍由该厂负责']
根据《中华人民共和国职业病防治法》，用人单位应当采取的职业病防治管理措施包括：（ ）等。,"['制定职业病防治计划和实施方案', '建立、健全职业卫生管理制度和操作规程', '建立、健全职业卫生档案和劳动者健康监护档案', '建立、健全工作场所职业病危害因素监测及评价制度']"
根据《突发事件应急预案管理办法》，专项应急预案、部门应急预案每（ ）年至少进行一次演练。,['3']
